zincid,Binder,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,Notes,smiles,score,hac
ZINC000623870425,0,,,,NT,-13.19,,Cc1ccc(CN(c2nc(=N)[nH]c(=N)[nH]2)C2CC2)o1,-52.0,19.0
ZINC000635912552,0,,,,NT,-9.66,,CO[C@H]1C[C@@H](CN(C)C(=O)[C@@H]2C[C@H]2c2cnc[nH]2)N(C)C1,-52.0,21.0
ZINC000639049217,0,,,,NT,55.86,,CN1CC[C@](O)(CNC2CC(n3cccn3)C2)C1,-52.0,18.0
ZINC000643339461,0,,,,NT,-8.96,,CCCc1[nH]ccc1C(=O)N[C@@H]1CN(C)Cc2ccccc21,-52.0,22.0
ZINC000644167129,0,,,,NT,-41.36,,C[C@@]1(Cc2ccc3c(c2)OCO3)NC(=O)N(CC[C@@H]2CCNC2)C1=O,-52.0,25.0
ZINC000649878035,0,,,,NT,16.26,,OCc1cn([C@@H]2CCN(Cc3cc4c(c(Cl)c3)OCO4)C2)nn1,-52.0,23.0
ZINC000653059646,0,,,,NT,-20.05,,O=C(NCc1nc2ccccc2s1)[C@@H]1CNC[C@H]1C(F)(F)F,-52.0,22.0
ZINC000664061503,0,,,,NT,2.98,,Cc1cc(C(F)(F)F)cc(N2CCN(CCN(C)C)C(=O)C2)n1,-52.0,23.0
ZINC000671004566,0,,,,NT,-4.65,,CCN1C[C@H](C)[C@H](NC(=O)C(=O)N[C@@H](C)c2ccc(C)c(C)c2)C1,-52.0,24.0
ZINC000425369559,1,2200,>10000,>10000,NT,82.48,,CC[C@H]1C[C@H](CNCC(=O)Nc2ccc(C)cc2Cl)CCO1,-52.0,22.0
ZINC000065828678,0,,,,NT,31.89,,C[C@H](NC(=O)Nc1ccc2c(c1)C(=O)NC2=O)c1ccc(C#N)cc1,-49.0,25.0
ZINC000068812227,1,4580,>10000,>10000,NT,77.61,,Cc1cc(C)n(CCN2CCC(c3nc(C)no3)CC2)n1,-49.0,21.0
ZINC000158996642,0,,,,NT,7.25,,Oc1nc2ccccc2cc1CNc1nncn1Cc1ccccc1,-49.0,25.0
ZINC000194813541,0,,,,NT,56.83,,O=C(Nc1n[nH]c2ccc([N+](=O)[O-])cc21)C1CCN(C2CC2)CC1,-49.0,24.0
ZINC000261774985,0,,,,NT,-3.71,,NC1(c2noc(-c3ccc(-c4nc(C5CC5)n[nH]4)cc3)n2)CCCC1,-49.0,25.0
ZINC000275789317,0,,,,NT,-27.28,,Cn1cc(-c2n[nH]cc2C(=O)N2CCN3CCC[C@H]3C2)cn1,-49.0,22.0
ZINC000328920464,0,,,,NT,-48.89,,C[C@H](C/N=C(/O)[C@@H]1CCCN(C(=O)C2CC2)C1)CN1CCCC1,-49.0,23.0
ZINC000329536951,0,,,,NT,-24.25,,Cc1cnn([C@@H]2CCN(/C(O)=N/C[C@@H]3CCCCN3C3CC3)C2)c1,-49.0,24.0
ZINC000338210230,0,,,,NT,-14.20,,Cc1noc(C)c1[C@@H](C)CC(=O)N1CCCN(C(C)C)CC1,-49.0,22.0
ZINC000341188110,0,,,,NT,20.96,,Cc1oc2ncnc(NC(=O)c3ccc4cncn4c3)c2c1C,-49.0,23.0
ZINC000362031643,0,,,,NT,18.64,,CCn1ccnc(N2CCC[C@H](C(=O)N3CCN(C)CC3)C2)c1=O,-49.0,24.0
ZINC000364457637,0,,,,NT,-4.22,,OC1(CN2CCOCC2)CCN(CCO[C@@H]2CCCCO2)CC1,-49.0,23.0
ZINC000367129355,0,,,,NT,30.48,,CC(C)c1nccc(=NC[C@@H]2CN3CCCC[C@H]3CO2)[nH]1,-49.0,21.0
ZINC000413153770,0,,,,NT,41.97,,C[C@H](CNc1ccc([N+](=O)[O-])c2ncccc12)CN1CCOCC1,-49.0,24.0
ZINC000418958962,1,5440,>10000,>10000,NT,73.17,,CN1CCC[C@@]2(CCN(c3ncc(F)c(-c4ccsc4)n3)C2)C1,-49.0,23.0
ZINC000420401643,0,,,,NT,31.96,,O=[N+]([O-])c1ccccc1OCCN1CCCC[C@H]1[C@@H]1CCNC1,-49.0,23.0
ZINC000421783101,0,,,,NT,-5.69,,O=C(N1CC[C@@H]2[C@@H](CCCN2C2CC2)C1)C1(Oc2ccccc2)CC1,-49.0,25.0
ZINC000437567142,0,,,,NT,-23.44,,Cc1cc(O)cc(=O)n1CCC(=O)N[C@H](c1ccc(Cl)cc1)C1CC1,-49.0,25.0
ZINC000439617604,0,,,,NT,20.16,,O=C(NCc1ccc(Cn2ccnc2)cc1)Nc1cncc(F)c1,-49.0,24.0
ZINC000457751519,0,,,,NT,-18.17,,CC(C)N1CC(NC(=O)C2(c3ccc(Cl)cc3)CCOCC2)C1,-49.0,23.0
ZINC000459762949,0,,,,NT,13.67,,O=S(=O)(CCNC1(C2CCC2)CCC1)c1ccc(F)cc1,-49.0,21.0
ZINC000479933259,0,,,,NT,3.62,,Clc1ccc2nc(Cn3nnnc3/C=C/c3ccccc3)cn2c1,-49.0,24.0
ZINC000518341321,0,,,,NT,18.24,,O=C(Nc1ccc(Cl)cc1Cl)C(=O)N1CCC2(CCNCC2)CC1,-49.0,24.0
ZINC000526947641,0,,,,NT,-5.46,,CCC[C@H](NCc1nnc(C)s1)c1ccsc1,-49.0,17.0
ZINC000564099295,0,,,,NT,63.55,,CCC(CC)N=c1cc[nH]cc1NC(=O)[C@@H]1CCc2cnc(C)n2C1,-49.0,25.0
ZINC000567487612,0,,,,NT,8.46,,O=C1Nc2ccccc2S[C@@H]1CCSCCN1CCOCC1,-49.0,22.0
ZINC000583694740,0,,,,NT,18.07,,O=C(NCCCNC1CC1)c1nn(-c2ccccc2F)c2c1CCC2,-49.0,25.0
ZINC000593213951,0,,,,NT,-15.11,,Cc1cc(C)c(C)c(OCCC(=O)N2CCC[C@H]2[C@@H]2CCCN2C)c1,-49.0,25.0
ZINC000619010813,0,,,,NT,-3.41,,Cc1cccn2c(NC(=O)[C@H](NC(=O)c3ccco3)C(C)C)cnc12,-49.0,25.0
ZINC000622835444,0,,,,NT,5.16,,CCN1C[C@@H](C)N(C(=O)[C@@H]2OCCO[C@@H]2c2ccccc2)C[C@H]1C,-49.0,24.0
ZINC000624591648,0,,,,NT,-28.52,,O=C(c1ccn(C2CCOCC2)n1)N1CCC(N2CCCCC2)CC1,-49.0,25.0
ZINC000638425397,0,,,,NT,49.30,,N=c1[nH]cc(CNCCc2ccc(Br)s2)c(=N)[nH]1,-49.0,18.0
ZINC000662805644,0,,,,NT,-29.56,,O=C(N[C@@H]1[C@@H]2CCO[C@H]2C12CCC2)[C@@]1(O)CCCNC1,-49.0,20.0
ZINC000662808424,0,,,,NT,-18.27,,CCO[C@@H]1C[C@H](NC(=O)C2(NC3CC3)CCC2)[C@H]1OC,-49.0,20.0
ZINC000540834248,0,,,,NT,8.24,,C[C@@H]1CN(C)CC[C@H]1Nc1ccc(-n2ccnc2)c(Cl)c1,-49.0,21.0
ZINC000562747285,0,,,,NT,20.04,,O=C(CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)Nc1cnc2n1CCCC2,-49.0,24.0
ZINC000012721827,0,,,,NT,-27.68,,COc1ccc(-n2nnnc2SCc2nc(N)nc(N(C)C)n2)cc1,-46.0,25.0
ZINC000025029722,0,,,,NT,-26.44,,O=C(COc1ccc(Cl)cc1[N+](=O)[O-])N1CC(=O)Nc2ccccc21,-46.0,25.0
ZINC000109059752,0,,,,NT,-12.05,,O=C(CCc1ccc(Cl)cc1)NCCc1nnc(S)n1C1CC1,-46.0,23.0
ZINC000178015194,0,,,,NT,-25.83,,C[C@@H](NC(=O)c1cc(N)nc(Cl)c1)c1ccccc1-n1cccn1,-46.0,24.0
ZINC000191219561,0,,,,NT,-17.06,,Cn1cc([C@@H]2CSCCN2CC(=O)Nc2sccc2C#N)cn1,-46.0,23.0
ZINC000288233772,0,,,,NT,22.54,,O=C1N[C@@H](Cc2c[nH]cn2)C(=O)N1[C@@H]1C[C@@H]1c1cccc(F)c1,-46.0,23.0
ZINC000288401156,0,,,,NT,2.81,,CCc1nc(C)cc(NCCCO[C@H]2CCCCO2)n1,-46.0,20.0
ZINC000290098055,0,,,,NT,-5.43,,C=CCN(Cc1cnc(C2OCCO2)s1)CC1CCCCC1,-46.0,22.0
ZINC000330466221,0,,,,NT,-9.56,,CCN1CCC[C@H](/N=C(/O)N[C@@H](CO)c2cnn(C)c2)C1,-46.0,21.0
ZINC000335828118,0,,,,NT,9.50,,NCc1cc(C(=O)N[C@H]2CC23CCCCC3)ccn1,-46.0,19.0
ZINC000353089187,0,,,,NT,19.48,,CCc1nc(CNCCc2cc(C)no2)cs1,-46.0,17.0
ZINC000354027637,0,,,,NT,-32.39,,COc1cc(NC(=O)C(=O)N(C)CCN(C)c2ccccc2)ccn1,-46.0,25.0
ZINC000358064563,0,,,,NT,-6.64,,CN1CC[C@@](O)(CNC(=O)[C@H](c2ccccc2)N2CCCCC2=O)C1,-46.0,25.0
ZINC000381888974,0,,,,NT,2.78,,Cc1n[nH]cc1CCCN[C@@H](C)[C@@H]1CC2CCC1CC2,-46.0,20.0
ZINC000416287750,0,,,,NT,-13.59,,C[C@H]1CCCCN1CCC(=O)N[C@H]1C[C@@](C)(O)C1,-46.0,18.0
ZINC000440607995,0,,,,NT,1.13,,C[C@@H](NC(=O)c1cn(C)c(=O)nc1O)c1ccc(-n2cccn2)cc1,-46.0,25.0
ZINC000452390760,0,,,,NT,-6.50,,Cc1sc(=O)n(CCC(=O)NCC(C)(C)c2ccccn2)c1C,-46.0,23.0
ZINC000459339191,0,,,,NT,-7.75,,CC[C@H](C)[C@H](C)N(Cc1cc(O)nc(C2CC2)n1)C1CC1,-46.0,21.0
ZINC000493064872,0,,,,NT,44.83,,Cc1cccc(-c2cccc(CNC(=O)/C=C/[C@H]3CCOC3)c2)c1,-46.0,24.0
ZINC000507247410,0,,,,NT,23.55,,Cc1sccc1CN1CCC(C(=O)N2CCC(C(N)=O)CC2)CC1,-46.0,24.0
ZINC000524698687,0,,,,NT,8.63,,CCN(C)C[C@H]1CCN(C(=O)COC[C@H]2CCCO2)C1,-46.0,20.0
ZINC000563099383,0,,,,NT,20.19,,Cc1cnc([C@@H](NC[C@H]2CCCNC2=O)C2CC2)s1,-46.0,19.0
ZINC000566689089,0,,,,NT,-18.94,,O=C(NCCCCn1cc(Br)cn1)C(=O)N[C@H]1CCNC1,-46.0,21.0
ZINC000616305793,0,,,,NT,-3.34,,CCN1CC[C@@H](NC(=O)C2(n3cnnn3)CCOCC2)C1,-46.0,21.0
ZINC000620168554,0,,,,NT,7.11,,CN(CC(=O)N1CCN(C)CC1)C(=O)CSc1nncs1,-46.0,21.0
ZINC000630510987,0,,,,NT,-27.21,,c1c(C2CCC2)nn2ccnc(N3CC[C@@]4(CCNC4)C3)c12,-46.0,22.0
ZINC000632062321,0,,,,NT,-18.23,,Cc1cc(S(=O)(=O)NC2CCN(C3CCCCC3)CC2)sn1,-46.0,22.0
ZINC000638189401,0,,,,NT,20.46,,CC(C)(CNc1ccc(NC(=O)c2ccco2)cc1)N1CCOCC1,-46.0,25.0
ZINC000639348242,0,,,,NT,93.07,,CC1(C)OC[C@H]2C[C@]21NCc1cnc2[nH]cncc1-2,-46.0,19.0
ZINC000644245640,0,,,,NT,17.27,,CO[C@H]1COC[C@H]1S(=O)(=O)N[C@@H]1CN(C2CC2)C[C@@H]1C,-46.0,20.0
ZINC000647173016,1,8280,>10000,>10000,NT,55.18,,COc1ncncc1CNCCO[C@@H]1CCCC[C@H]1C,-46.0,20.0
ZINC000652609636,0,,,,NT,9.40,,NCC1(CCNC(=O)N=c2ccnc(OCC(F)(F)F)[nH]2)CC1,-46.0,23.0
ZINC000655445078,0,,,,NT,-12.69,,C[C@H](Cn1ccnc1)NC(=O)[C@@H]1C[C@@]12CCCNC2,-46.0,19.0
ZINC000657300720,0,,,,NT,16.46,,Cn1nc(C(F)(F)F)cc1CNCCCn1cncn1,-46.0,20.0
ZINC000659991983,0,,,,NT,-1.36,,CCN1CC[C@H]2CC[C@@H](C1)N2CCN1C[C@@H](C)O[C@@H](C)C1,-46.0,21.0
ZINC000064657791,0,,,,NT,-13.19,,Cn1c(CSc2nnc(N3CCCC3)s2)cc(=O)n(C)c1=O,-43.0,22.0
ZINC000076693592,0,,,,NT,-12.25,,CC[C@@H]1CN(C(=O)C(=O)Nc2cccc(-c3ncon3)c2)CCS1,-43.0,24.0
ZINC000084373504,0,,,,NT,7.85,,O=C(Cc1n[nH]c2ccccc21)N(CC1CCC1)c1ccccc1,-43.0,24.0
ZINC000090417165,0,,,,NT,-30.60,,Cc1n[nH]c2ncc(NC(=O)CSc3nccn3C(C)(C)C)cc12,-43.0,24.0
ZINC000115942017,0,,,,NT,-12.25,,O=C(NC[C@@H]1Cc2ccccc2O1)c1[nH]nc(C2CC2)c1Br,-43.0,22.0
ZINC000119413870,0,,,,NT,-13.90,,O=C(c1csc(-c2nnc[nH]2)n1)N1CCc2c(cccc2[N+](=O)[O-])C1,-43.0,25.0
ZINC000126435005,0,,,,NT,0.46,,CN(C)c1ncncc1NC(=O)CCc1nc(-c2cccs2)no1,-43.0,24.0
ZINC000135482689,0,,,,NT,-4.52,,Cc1nc(C#N)c(C#N)n1CCc1cc(Cl)c2c(c1)OCCCO2,-43.0,24.0
ZINC000159177186,0,,,,NT,-0.58,,CCc1nc(CN2CCCc3cc(F)cc(C)c32)n[nH]1,-43.0,20.0
ZINC000182328656,0,,,,NT,-19.38,,CCCc1c(Nc2ccc(C#N)nn2)cnn1-c1cccc(F)c1,-43.0,24.0
ZINC000192454118,0,,,,NT,-18.94,,Cc1cc(OCC(=O)N[C@@]2(C)CCS(=O)(=O)C2)cc(C)c1Cl,-43.0,22.0
ZINC000281475093,0,,,,NT,-19.61,,CC[C@H](C)c1nc([C@H](C)NC(=O)[C@@H]2CCc3cc(C)ccc3O2)n[nH]1,-43.0,25.0
ZINC000329010820,0,,,,NT,-18.40,,CC1(/N=C(/O)[C@@H]2CCc3nncn3C2)Cc2ccccc2C1,-43.0,22.0
ZINC000329485257,0,,,,NT,24.69,,CC(C)C[C@@H](C/N=C(/O)Nc1cccc2c1OCO2)N1CCOCC1,-43.0,25.0
ZINC000329730178,0,,,,NT,-13.39,,C[C@]1(NC(O)=Nc2ccn3ccnc3c2)CCCOC1,-43.0,20.0
ZINC000330201739,0,,,,NT,-7.95,,C[C@H]1OCC[C@H]1N/C(O)=N/C[C@H]1SCCc2ccccc21,-43.0,21.0
ZINC000342540996,0,,,,NT,-5.93,,NC(=O)CCn1ccc(=NC(=O)c2ccc3c(c2)CCC=C3)[nH]1,-43.0,23.0
ZINC000356040370,0,,,,NT,34.44,,O=[N+]([O-])c1c[nH]c(-c2nc(-c3ccnc(N4CCOCC4)c3)no2)c1,-43.0,25.0
ZINC000367889194,0,,,,NT,-10.77,,N#Cc1cnn(C(=O)c2ccnc(-c3ccc(Cl)cc3)n2)c1N,-43.0,23.0
ZINC000369237090,0,,,,NT,4.49,,Cn1cnc2c1CCN(c1nnc(-c3ccccc3)s1)C2,-43.0,21.0
ZINC000423993342,0,,,,NT,8.79,,O=C(Cn1cc(Br)cn1)N1CCNC[C@H]1c1ccccc1,-43.0,21.0
ZINC000444256497,0,,,,NT,-0.79,,Nc1ncnc2c1ncn2CC(=O)NCc1ccc2c(c1)CNC2,-43.0,24.0
ZINC000451272531,0,,,,NT,-1.80,,CC(=O)c1cn(CC(=O)N2CCC=Cc3ccccc32)nn1,-43.0,22.0
ZINC000459733119,0,,,,NT,28.43,,CN1CCC[C@H](CCN[C@H]2CC[C@H]2C2CCC2)C1,-43.0,18.0
ZINC000497236705,0,,,,NT,-4.18,,CC(C)(C)OC(=O)N1CC2(CC(N[C@@H]3CCCc4c[nH]nc43)C2)C1,-43.0,24.0
ZINC000546930762,0,,,,NT,-18.67,,CC[C@@H]1CN(Cc2nc3ccc(OC)nc3[nH]2)C[C@H]1N1CCOCC1,-43.0,25.0
ZINC000548008896,0,,,,NT,0.66,,Cn1cc([C@H]2OCCC[C@@H]2NS(=O)(=O)CCCN2CCOCC2)cn1,-43.0,25.0
ZINC000559417747,0,,,,NT,41.64,,Cn1ccc2ccc(NCc3nnnn3C3CCOCC3)cc21,-43.0,23.0
ZINC000569270050,0,,,,NT,5.84,,Cn1cc(CCOc2cnc3ccc(Br)cc3c2)cn1,-43.0,20.0
ZINC000596018639,0,,,,NT,8.39,,Cc1noc(CSc2nnc(N3CCOCC3)n2C)c1[N+](=O)[O-],-43.0,23.0
ZINC000596664063,0,,,,NT,54.85,,Cc1nn(C)c2ncc(CNc3cnn(-c4ccncc4)c3)cc12,-43.0,24.0
ZINC000613544672,0,,,,NT,-18.37,,Cn1ncc(C2CCC2)c1C(=O)N1CCN(c2ccccc2)C(=O)C1,-43.0,25.0
ZINC000665695037,0,,,,NT,-25.16,,Cc1cc(NC(=O)C2CCN(c3cc(NC4CC4)ncn3)CC2)no1,-43.0,25.0
ZINC000287623857,0,,,,NT,19.96,,CN1CCN(C(=O)CCn2ccnc2)c2ccc(Br)cc21,-43.0,21.0
ZINC000528659633,0,,,,NT,-2.53,,Cc1ccc(-c2nn(C)cc2C(=O)N2c3ccccc3C[C@@H]2CN)o1,-43.0,25.0
ZINC000594648986,0,,,,NT,14.20,,O=[N+]([O-])c1ccc(-n2cc(C[C@@]3(O)CCSC3)nn2)nc1,-43.0,21.0
ZINC000053340688,0,,,,NT,6.24,,C[C@@H](c1cc2ccccc2o1)N(C)C(=O)CSc1nnc(N)s1,-40.0,23.0
ZINC000056767086,0,,,,NT,-14.00,,Cc1c([C@@H](C)NC(=O)Nc2ccc(N3CCOC3=O)cc2)cnn1C,-40.0,25.0
ZINC000057771570,0,,,,NT,-4.99,,O=c1[nH]c(-c2cnn(-c3cccc(Cl)c3)c2)nc2ccccc12,-40.0,23.0
ZINC000103161985,0,,,,NT,-37.60,,O=C(c1ccc(OS(=O)(=O)c2ccc(Cl)s2)cc1)N1CCCC1,-40.0,23.0
ZINC000195441479,0,,,,NT,24.09,,CCn1ncnc1CSC1=Nc2ccccc2C1,-40.0,18.0
ZINC000269099581,0,,,,NT,7.38,,Cc1cn2nc(NCCn3cc([N+](=O)[O-])cn3)sc2n1,-40.0,20.0
ZINC000293687518,0,,,,NT,-2.60,,O=C1NCCCN(C[C@@H]2CCC=CO2)[C@@H]1Cc1ccccc1,-40.0,22.0
ZINC000301077012,0,,,,NT,-4.05,,N#Cc1ccc(N2CCC(Nc3ncnc4nc[nH]c43)CC2)cc1,-40.0,24.0
ZINC000328820289,0,,,,NT,0.66,,OC(=Nc1cccc(OC[C@@H]2CCCO2)c1)N[C@@H]1CCO[C@H]1C1CC1,-40.0,25.0
ZINC000329095325,0,,,,NT,-23.65,,O=C(NC/C(O)=N/C[C@H]1CS(=O)(=O)CCO1)c1ccc2c(c1)CCC2,-40.0,25.0
ZINC000329302218,0,,,,NT,36.16,,COc1ncc(CSc2nnc(C3CCC3)n2C)c(C)n1,-40.0,21.0
ZINC000333727893,0,,,,NT,3.68,,O=C(COc1ccsc1Cl)N1CCN([C@H]2CCNC(=O)CC2)CC1,-40.0,24.0
ZINC000335841258,0,,,,NT,-0.85,,COC1CCN(C(=O)N2CC[C@H]3CC[C@@H](C2)N3C)CC1,-40.0,20.0
ZINC000340055039,0,,,,NT,3.75,,N#Cc1ccc(OCCn2cnc(-c3nccs3)n2)cc1,-40.0,21.0
ZINC000353157423,0,,,,NT,-8.82,,CN(C)C1(CNC(=O)N[C@H]2CC(=O)N(C)C2)CCOCC1,-40.0,21.0
ZINC000353283206,0,,,,NT,19.92,,CN(C)c1cccnc1CNC(=O)Nc1cccc(-c2ncco2)c1,-40.0,25.0
ZINC000362905868,0,,,,NT,24.63,,O=C(N=c1[nH][nH]c2c1cccc2Cl)C1(c2cccnc2)CCCC1,-40.0,24.0
ZINC000364803807,0,,,,NT,-9.02,,CN(CC(=O)N1CCC[C@@]2(CNC(=O)O2)C1)c1ncnc2[nH]cnc21,-40.0,25.0
ZINC000371594592,0,,,,NT,-12.75,,O=C(c1ccccc1N1CCOCC1)N1CC=C(c2ccccc2)C1,-40.0,25.0
ZINC000408454402,0,,,,NT,1.43,,O=C(N[C@@H]1CCc2c1ccc(Cl)c2Cl)N1CC(=O)N(C2CC2)C1,-40.0,23.0
ZINC000440899623,0,,,,NT,-12.96,,CC(=O)c1c[nH]ccc1=NC(=O)c1ccc(-c2csc(C)n2)cc1,-40.0,24.0
ZINC000442838678,0,,,,NT,21.94,,CCOC(=O)c1cc(S(=O)(=O)Nc2ccc3ccoc3c2)cn1C,-40.0,24.0
ZINC000462877234,0,,,,NT,56.93,,Cc1nn(C)c2cc(NC/C=C/c3ccc(F)cc3F)ccc12,-40.0,23.0
ZINC000500766833,0,,,,NT,9.94,,N#CC1(CSc2nc3ccccc3n2-c2ccccc2)CC1,-40.0,22.0
ZINC000505420543,0,,,,NT,12.16,,Cc1nccc(-c2cccc(NC(=O)c3occ4c3CCC4)c2)n1,-40.0,24.0
ZINC000516013415,0,,,,NT,-5.56,,C[C@@H](C1CC1)N(C)C(=O)C(=O)Nc1cccc(N2CCNC2=O)c1,-40.0,24.0
ZINC000533232220,0,,,,NT,28.80,,Cc1cc(NC(=O)c2cc3c(c(Cl)c2)OCO3)n(C2CCOCC2)n1,-40.0,25.0
ZINC000561696674,0,,,,NT,25.47,,CC(C)Cn1ncc(Nc2ccc([N+](=O)[O-])cc2)c1C1CC1,-40.0,22.0
ZINC000562352532,0,,,,NT,-13.19,,CCCc1nc(C)c(CNc2ccnc3ccsc32)o1,-40.0,20.0
ZINC000596309140,0,,,,NT,7.11,,Ic1cccc(OCCCn2cc(C3CC3)nn2)c1,-40.0,19.0
ZINC000622075832,0,,,,NT,-21.86,,CC[C@@H](CNc1ccccc1)NC(=O)COCc1nccn1C,-40.0,23.0
ZINC000634050549,0,,,,NT,5.30,,COCC1(C2CC2)CN(C(=O)[C@@H]2Cc3ccccc3S2)C1,-40.0,21.0
ZINC000638181743,0,,,,NT,30.24,,O=C1CN(Cc2cc3c(cn2)OCCO3)CN1Cc1ccccc1,-40.0,24.0
ZINC000651403808,0,,,,NT,80.06,,Cc1cc(C)n(-c2cncc(=N[C@@H](C3CC3)C3CCOCC3)[nH]2)n1,-40.0,24.0
ZINC000664868499,0,,,,NT,34.75,,CC1(C)Cc2n[nH]cc2CN(Cc2csc(C3CC3)n2)C1,-40.0,21.0
ZINC000089457144,0,,,,NT,-7.19,,Cc1c[nH]/c(=N/C(=O)C[C@H](C)Cc2ccc(Cl)cc2)[nH]1,-35.0,20.0
ZINC000187809092,0,,,,NT,-13.91,,O=C(c1ccc(C(F)(F)F)[nH]c1=O)N1CCC(c2ccsc2)CC1,-35.0,24.0
ZINC000188511497,0,,,,NT,1.94,,COC(=O)c1scc(C)c1NS(=O)(=O)c1c[nH]c2cccc(F)c21,-35.0,24.0
ZINC000191074433,0,,,,NT,0.47,,Cn1ncnc1S(=O)(=O)Cc1coc(-c2ccc([N+](=O)[O-])cc2)n1,-35.0,24.0
ZINC000273459391,0,,,,NT,0.67,,O=C(C[C@@H]1CSCCS1)N1CCc2ccncc21,-35.0,18.0
ZINC000278136424,0,,,,NT,12.79,,C[C@H]1C(=O)N(c2ccc3c(c2)OC(F)(F)O3)C(=O)N1C1CC1,-35.0,22.0
ZINC000279550867,0,,,,NT,3.64,,CC[C@@]1(C)Oc2ccc(NCc3ccnn3C(C)C)cc2O1,-35.0,22.0
ZINC000301469731,0,,,,NT,3.02,,N#Cc1cc(NCc2ccon2)cc(NCc2ccon2)c1[N+](=O)[O-],-35.0,25.0
ZINC000328901657,0,,,,NT,21.77,,CC(C)Nc1ccc(/C(O)=N/[C@@H]2CCO[C@H]2C2CC2)cn1,-35.0,21.0
ZINC000329362699,0,,,,NT,-0.53,,O=C(CCN1C(=O)C2(CCCC2)N=C1O)N1CCS(=O)CC1,-35.0,22.0
ZINC000329738594,0,,,,NT,17.31,,CC(=O)N1CCC[C@@H](c2noc([C@@H]3Cc4ccccc4S3)n2)C1,-35.0,23.0
ZINC000335302007,0,,,,NT,17.99,,C[C@H]1CN(Cc2cn3cc(Cl)ccc3n2)S(=O)(=O)C1,-35.0,19.0
ZINC000335925353,0,,,,NT,-1.38,,Cc1cc(C(=O)Nc2ncc(C(F)(F)F)[nH]2)ns1,-35.0,18.0
ZINC000346667446,0,,,,NT,25.09,,Cn1cc(CN=c2[nH][nH]cc2C#N)c(-c2ccncc2)n1,-35.0,21.0
ZINC000346805474,0,,,,NT,-6.22,,CCc1nnc(CNC(=O)C(=O)NCc2ccc(F)cc2)o1,-35.0,22.0
ZINC000348588772,0,,,,NT,-16.58,,O=C1N[C@@H](Cc2cnc[nH]2)C(=O)N1[C@@H]1CSc2ccccc21,-35.0,22.0
ZINC000362172677,0,,,,NT,-4.55,,O=C(Cn1nc2ccccn2c1=O)Nc1nccc(-c2ccco2)n1,-35.0,25.0
ZINC000365071023,0,,,,NT,5.34,,c1ccc(Oc2cccc(NC3CCC4(CCCO4)CC3)c2)nc1,-35.0,24.0
ZINC000365129771,0,,,,NT,-23.00,,O=C(N[C@@H]1CCN(C(=O)c2ccncc2)C1)c1c[nH]nc1C1CC1,-35.0,24.0
ZINC000437356381,0,,,,NT,9.92,,N#Cc1c[nH]ccc1=NC(=O)CSCc1cscn1,-35.0,19.0
ZINC000487051932,0,,,,NT,10.77,,O=[N+]([O-])c1ccc(S[C@H]2CCOC2)nc1OCc1ccccc1,-35.0,23.0
ZINC000540726253,0,,,,NT,17.52,,Cc1ccc([C@H](Nc2cccc(N3CCOCC3)c2)C2CC2)cc1,-35.0,24.0
ZINC000547111210,0,,,,NT,-0.09,,C[C@]1(c2nc(-c3ccnc(N4CCOCC4)c3)no2)CCCOC1,-35.0,24.0
ZINC000548147382,0,,,,NT,0.12,,CC(=O)N(CCc1ccccc1)CC(=O)Nc1cccc2cc[nH]c21,-35.0,25.0
ZINC000594481260,0,,,,NT,-1.44,,N#Cc1ccc(C2(NS(=O)(=O)CC[C@H]3CCOC3)CCC2)cc1,-35.0,23.0
ZINC000616783624,0,,,,NT,-5.96,,Cn1nncc1C(=O)N[C@@H]1CCCC[C@@H]1NC(=O)c1cnnn1C,-35.0,24.0
ZINC000617992931,0,,,,NT,-0.91,,COC(=O)c1c(C)c(C)sc1NC(=O)N1CCC12CCOCC2,-35.0,23.0
ZINC000624061454,0,,,,NT,-5.13,,Cc1noc(C)c1[C@@H](C)C(=O)Nc1nnc(C2CC2)s1,-35.0,20.0
ZINC000632070629,0,,,,NT,-3.14,,CN(C[C@H]1CCOC1)S(=O)(=O)c1cccnc1Oc1ccc(F)cc1,-35.0,25.0
ZINC000647880816,0,,,,NT,0.38,,c1noc2c1cccc2OCc1ncn(-c2ccccc2)n1,-35.0,22.0
ZINC000648691433,0,,,,NT,9.42,,C[C@H]1SCC[C@@H]1NC(=O)C1C[C@H]2CCC[C@@H](C1)C2=O,-35.0,19.0
ZINC000651692099,0,,,,NT,-6.16,,O=C(N=c1[nH]nc2n1CCCC2)c1ccc(-n2ccnc2O)cc1,-35.0,24.0
ZINC000655250990,0,,,,NT,13.23,,Cn1c(O)ncc(C(=O)NCc2nnn(C(C)(C)C)n2)c1=O,-35.0,22.0
ZINC000657225886,0,,,,NT,-6.87,,CC(C)(C)n1cc(CSc2nc(N)nc(N)n2)nn1,-35.0,19.0
ZINC000664448457,0,,,,NT,6.51,,CC1C[C@H]2CC[C@@H](C1)N2C(=O)C(=O)c1ccc(F)cc1,-35.0,20.0
