zincid,Binder,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,Notes,smiles,score,hac
ZINC000332615244,0,,,,NT,-7.44,,C[C@@H]1CCCN(C(C)(C)CNC(=O)[C@@H](O)Cc2ccccc2)C1,-67.83,23.0
ZINC000304720724,0,,,,NT,21.53,,CN(CCO)Cc1cn(-c2ccccc2)nc1-c1cccs1,-67.76,22.0
ZINC000547642529,0,,,,NT,3.31,,Clc1ccc(-n2cc(CN[C@@H]3CCn4ccnc4C3)nn2)c(Cl)c1,-67.76,24.0
ZINC000112857579,0,,,,NT,-10.97,,CC(C)[C@@H](C(=O)N[C@H](C)c1nc2ccccc2[nH]1)N1CCCCC1,-67.71,24.0
ZINC000451479054,0,,,,NT,7.31,,CC1(C)[C@H](NCC(=O)Nc2ccc([N+](=O)[O-])cc2Cl)[C@H]2CCCO[C@H]21,-67.7,25.0
ZINC000609540377,1,3850,>10000,>10000,NT,66.85,,C[C@H](C(=O)Nc1cccc([N+](=O)[O-])c1)N1CC[C@@H](c2ccco2)C1,-67.7,24.0
ZINC000298433681,0,,,,NT,7.65,,CC(C)COC[C@H](O)CN(C)CC(=O)Nc1cccc(Cl)c1,-67.66,22.0
ZINC000355327118,0,,,,NT,56.28,,CN1CCCC(C)(C)[C@H]1CNC(=O)c1cnnc(-c2ccccc2)c1,-67.66,25.0
ZINC000267294321,0,,,,NT,-1.32,,C[C@H](C(=O)Nc1ccc2ccccc2c1)N1CC[C@](C)(O)C1,-67.59,22.0
ZINC000375299581,1,180,>10000,>10000,ND,92.06,,C#CCOc1ccccc1CN1CC[C@@]2(C1)C(=O)Nc1ccccc12,-67.59,25.0
ZINC000247477468,0,,,,NT,-15.31,,C[C@H](C(=O)c1c(N)n(C)c(=O)n(C)c1=O)N1C[C@@H]2CCC[C@H]2C1,-67.58,23.0
ZINC000681711644,0,,,,NT,-5.63,,CCc1ccccc1NC(=O)CNC(=O)CN1CC[C@H]2CCC[C@H]21,-67.56,24.0
ZINC000615622500,1,150,>10000,5400,ND,99.52,,CN(C)[C@@H](CNC(=O)NC[C@H]1Cc2ccccc21)Cc1ccccc1,-67.51,25.0
ZINC000248536951,0,,,,NT,-1.32,,C[C@H](C(=O)Nc1sc2c(c1C#N)CCC2)N1CC[C@H]([C@H](C)O)C1,-67.47,23.0
ZINC000245899191,0,,,,NT,65.34,,COc1ccc(NC(=O)CN[C@H]2[C@H](C)CCC[C@@H]2C)c([N+](=O)[O-])c1,-67.44,24.0
ZINC000375310940,0,,,,NT,19.79,,Cc1ccccc1NC(=O)CN1CC[C@@]2(C1)c1ccccc1NC2=O,-67.44,25.0
ZINC000631235817,1,3570,>10000,>10000,NT,62.75,,C[C@](CO)(Cc1ccccc1F)NCc1cn2cc(Cl)ccc2n1,-67.42,24.0
ZINC000179028195,0,,,,NT,86.88,,O[C@]1(CNCc2cn(-c3ccccc3)nc2-c2cccs2)CCOC1,-67.4,25.0
ZINC000368074394,0,,,,NT,-19.24,,C[C@H]1CC[C@@]2(CCN(CC(=O)c3c(N)n(C)c(=O)n(C)c3=O)C2)C1,-67.4,24.0
ZINC000279624908,1,4210,>10000,>10000,NT,73.47,,CC(=O)N1CCC[C@H](CN[C@@H](C)CCc2ccccc2[N+](=O)[O-])C1,-67.37,24.0
ZINC000561217259,1,8090,>10000,>10000,NT,61.40,,Cn1c2ccccc2cc(CNC(=O)N[C@H](CN)C2CCCC2)c1=O,-67.37,25.0
ZINC000594511648,0,,,,NT,43.14,,C[C@H](CN[C@@H](C)CCc1ccccc1[N+](=O)[O-])C(=O)OC(C)(C)C,-67.33,24.0
ZINC000525237972,1,5910,>10000,>10000,NT,51.42,,C[C@H](C(=O)Nc1ccc(O)c2ccccc12)N1CCCCCC1,-67.32,23.0
ZINC000247398558,1,210,>10000,>10000,ND,107.83,,CC(C)N1C[C@H](C)[C@H](NC(=O)c2cccc3cc[nH]c32)C1,-67.31,21.0
ZINC000421039533,0,,,,NT,89.54,,Cc1ccc(NC(=O)[C@H](C)N2CCC[C@H](CCO)CC2)cc1C,-67.31,23.0
ZINC000366646246,0,,,,NT,11.25,,COC(=O)c1c(C)[nH]c(C(=O)[C@@H](C)N2C[C@H](O)C3(CC3)C2)c1C,-67.3,23.0
ZINC000251658325,0,,,,NT,28.46,,CC[C@H](C)CN(CC)[C@H](C)C(=O)Nc1cccc(C#N)c1,-67.27,21.0
ZINC000331412478,0,,,,NT,4.32,,C[C@]1(O)CCN(CC(=O)NC[C@@H]2Cc3ccccc3O2)C1,-67.27,21.0
ZINC000535316507,0,,,,NT,28.80,,Cn1ccnc1[C@@H]1CCN(Cc2cn3ccccc3c2C#N)C1,-67.27,23.0
ZINC000080960915,0,,,,NT,-3.68,,COc1ccccc1CNC(=O)[C@H](C)N1CCC[C@H](c2ncc[nH]2)C1,-67.25,25.0
ZINC000459715279,0,,,,NT,20.22,,Cc1cccc(CNC(=O)CN2CC3(CCC3)[C@H]3COC[C@@H]32)c1,-67.25,23.0
ZINC000601953994,1,980,>10000,>10000,ND,88.60,,N#Cc1ccnc(SC[C@]2(O)CCN(Cc3ccccc3)C2)c1,-67.25,23.0
ZINC000348555593,1,2720,>10000,>10000,NT,53.00,,CN(Cc1cn(-c2ccc(Cl)cc2Cl)nn1)[C@H]1CCC[C@H]1O,-67.24,22.0
ZINC000640028109,1,810,>10000,>10000,ND,43.08,,O=C(CN1C[C@@H](O)C[C@@H]1C1CC1)Nc1ccc(Br)cc1,-67.16,20.0
ZINC000466408491,1,3920,4780,5430,265,94.40,,OC[C@@H](CNCc1cn2cc(Cl)ccc2n1)CC1CCCC1,-67.07,22.0
ZINC000374410673,0,,,,NT,7.98,,C[C@H](C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)N1CC[C@H]([C@@H]2CCOC2)C1,-66.9,25.0
ZINC000023991615,0,,,,NT,6.31,,CCCCN(C)[C@@H](C)C(=O)Nc1cc([N+](=O)[O-])ccc1OC,-66.86,22.0
